Date : 2023-06-28 20:35:38
Directory : g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp
Total : 171 files,  22700 codes, 814 comments, 724 blanks, all 24238 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-prefers-color-scheme.cmd         | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\css-prefers-color-scheme.ps1         | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\cssesc.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\cssesc.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect-port.cmd                      | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect-port.ps1                      | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\detect.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\ejs.cmd                              | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\ejs.ps1                              | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\escodegen.cmd                        | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\escodegen.ps1                        | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esgenerate.cmd                       | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esgenerate.ps1                       | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\eslint.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\eslint.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esparse.cmd                          | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esparse.ps1                          | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esvalidate.cmd                       | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\esvalidate.ps1                       | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\he.cmd                               | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\he.ps1                               | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\html-minifier-terser.cmd             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\html-minifier-terser.ps1             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\import-local-fixture.cmd             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\import-local-fixture.ps1             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\is-docker.cmd                        | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\is-docker.ps1                        | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jake.cmd                             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jake.ps1                             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jest.cmd                             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jest.ps1                             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jiti.cmd                             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jiti.ps1                             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\js-yaml.cmd                          | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\js-yaml.ps1                          | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jsesc.cmd                            | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\jsesc.ps1                            | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\json5.cmd                            | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\json5.ps1                            | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\loose-envify.cmd                     | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\loose-envify.ps1                     | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\lz-string.cmd                        | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\lz-string.ps1                        | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mime.cmd                             | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mime.ps1                             | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mkdirp.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\mkdirp.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\multicast-dns.cmd                    | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\multicast-dns.ps1                    | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nanoid.cmd                           | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\nanoid.ps1                           | PowerShell |         22 |          5 |          2 |         29 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-gyp.cmd                         | Batch      |         15 |          0 |          3 |         18 |
| g:\School of code\SOC lessons\End Project Files\ENDPROJ\TheHackitectsFinalProjects\myapp\nodemodulesold\.bin\node-gyp.ps1                         | PowerShell |         22 |          5 |          2 |         29 |
